Data,Produto,Categoria,Quantidade,Preço
2024-01-03,Mouse,Periféricos,2,49.90
2024-01-05,Teclado,Periféricos,1,99.00
2024-02-10,Monitor,Monitores,1,899.00
2024-03-15,Mousepad,Periféricos,5,19.90
2024-03-20,Webcam,Periféricos,2,150.00
2024-04-01,SSD 1TB,Armazenamento,1,120.00
2024-04-05,Mouse,Periféricos,3,49.90
2024-04-12,Monitor,Monitores,1,899.00
2024-05-20,Cabo HDMI,Acessórios,10,25.00
2024-06-01,Teclado Mecânico,Periféricos,1,350.00
2024-06-15,Placa de Vídeo RTX 4060,Componentes,1,2800.00
2024-06-25,Headset Gamer,Áudio,1,299.90
2024-07-03,Notebook Gamer,Computadores,1,5500.00
2024-07-10,Cadeira Gamer,Móveis de Escritório,1,1200.00
2024-07-20,Mouse,Periféricos,2,49.90
2024-08-05,Webcam,Periféricos,1,150.00
2024-08-15,Pen Drive 64GB,Armazenamento,5,35.00
2024-08-20,Adaptador USB-C,Acessórios,3,45.00
2024-08-25,Microfone de Mesa,Áudio,1,180.00
2024-09-01,Placa-Mãe ASUS,Componentes,1,750.00
